OBJECTID,PRNAME,PRUID,DGUID,CDUID,CDNAME,DAUID,Total_15_to_19_years,Men_15_to_19_years,Women_15_to_19_years,Shape_Area(m^2),Shape_Area(km^2),Total_15_Density,Men_15_Density,Women_15_Density,ORIG_FID,Long,Lat,Coordinate
207,Manitoba,46,2021S051246110211,4611,Division No. 11,46110211,35,20,15,118746.0869,0.118746087,294.7465547,168.4266027,126.319952,207,-97.19800411,49.93245691,-097.19800411 49.93245691
208,Manitoba,46,2021S051246110212,4611,Division No. 11,46110212,30,20,15,110883.3797,0.11088338,270.5545238,180.3696825,135.2772619,208,-97.20385916,49.93243736,-097.20385916 49.93243736
209,Manitoba,46,2021S051246110213,4611,Division No. 11,46110213,10,10,5,88688.55111,0.088688551,112.7541252,112.7541252,56.37706262,209,-97.20825811,49.9331028,-097.20825811 49.93310280
210,Manitoba,46,2021S051246110214,4611,Division No. 11,46110214,25,10,15,152345.4104,0.15234541,164.1007756,65.64031024,98.46046535,210,-97.21262243,49.93339821,-097.21262243 49.93339821
211,Manitoba,46,2021S051246110215,4611,Division No. 11,46110215,30,15,20,83669.77594,0.083669776,358.5524123,179.2762061,239.0349415,211,-97.21358456,49.93635815,-097.21358456 49.93635815
212,Manitoba,46,2021S051246110216,4611,Division No. 11,46110216,25,5,15,78880.52318,0.078880523,316.9350176,63.38700352,190.1610106,212,-97.21114445,49.93796817,-097.21114445 49.93796817
213,Manitoba,46,2021S051246110217,4611,Division No. 11,46110217,35,15,20,95891.78644,0.095891786,364.9947644,156.4263276,208.5684368,213,-97.20886847,49.93640142,-097.20886847 49.93640142
214,Manitoba,46,2021S051246110218,4611,Division No. 11,46110218,25,10,20,119782.2445,0.119782245,208.7120683,83.48482731,166.9696546,214,-97.20867223,49.94070717,-097.20867223 49.94070717
215,Manitoba,46,2021S051246110219,4611,Division No. 11,46110219,50,30,20,335000.2047,0.335000205,149.2536402,89.5521841,59.70145607,215,-97.21186657,49.94316458,-097.21186657 49.94316458
216,Manitoba,46,2021S051246110220,4611,Division No. 11,46110220,60,30,25,192404.3749,0.192404375,311.843221,155.9216105,129.9346754,216,-97.2047088,49.94242433,-097.20470880 49.94242433
217,Manitoba,46,2021S051246110221,4611,Division No. 11,46110221,35,20,10,103846.5958,0.103846596,337.0356027,192.591773,96.2958865,217,-97.21545189,49.94297074,-097.21545189 49.94297074
218,Manitoba,46,2021S051246110222,4611,Division No. 11,46110222,25,15,15,70287.37369,0.070287374,355.6826595,213.4095957,213.4095957,218,-97.21868977,49.9441523,-097.21868977 49.94415230
219,Manitoba,46,2021S051246110223,4611,Division No. 11,46110223,30,20,15,225248.4438,0.225248444,133.1862697,88.79084649,66.59313487,219,-97.22506602,49.9444075,-097.22506602 49.94440750
220,Manitoba,46,2021S051246110224,4611,Division No. 11,46110224,45,25,20,246101.8516,0.246101852,182.8511232,101.5839574,81.26716589,220,-97.22440519,49.94149739,-097.22440519 49.94149739
221,Manitoba,46,2021S051246110225,4611,Division No. 11,46110225,25,15,10,131399.1689,0.131399169,190.2599553,114.1559732,76.1039821,221,-97.21687777,49.939315,-097.21687777 49.93931500
222,Manitoba,46,2021S051246110226,4611,Division No. 11,46110226,30,20,15,889745.3835,0.889745383,33.71751128,22.47834085,16.85875564,222,-97.2224381,49.93547391,-097.22243810 49.93547391
223,Manitoba,46,2021S051246110227,4611,Division No. 11,46110227,40,20,20,2798317.783,2.798317783,14.29430218,7.147151092,7.147151092,223,-97.2178504,49.92360323,-097.21785040 49.92360323
224,Manitoba,46,2021S051246110228,4611,Division No. 11,46110228,30,20,10,852749.4486,0.852749449,35.18032178,23.45354785,11.72677393,224,-97.20094202,49.9270677,-097.20094202 49.92706770
225,Manitoba,46,2021S051246110229,4611,Division No. 11,46110229,35,25,10,155359.0817,0.155359082,225.2845448,160.917532,64.36701279,225,-97.20334535,49.92199644,-097.20334535 49.92199644
226,Manitoba,46,2021S051246110230,4611,Division No. 11,46110230,40,25,10,123368.9435,0.123368944,324.2307088,202.644193,81.05767719,226,-97.19831845,49.92007705,-097.19831845 49.92007705
227,Manitoba,46,2021S051246110231,4611,Division No. 11,46110231,50,20,25,157291.4639,0.157291464,317.8812045,127.1524818,158.9406023,227,-97.19975215,49.91771012,-097.19975215 49.91771012
228,Manitoba,46,2021S051246110238,4611,Division No. 11,46110238,30,10,20,576445.7528,0.576445753,52.04305844,17.34768615,34.69537229,228,-97.20622168,49.89078276,-097.20622168 49.89078276
229,Manitoba,46,2021S051246110239,4611,Division No. 11,46110239,40,15,20,181793.3872,0.181793387,220.0300056,82.51125209,110.0150028,229,-97.21154911,49.88584481,-097.21154911 49.88584481
230,Manitoba,46,2021S051246110240,4611,Division No. 11,46110240,45,30,15,147424.3008,0.147424301,305.2414002,203.4942668,101.7471334,230,-97.21695759,49.88604516,-097.21695759 49.88604516
231,Manitoba,46,2021S051246110241,4611,Division No. 11,46110241,25,15,10,106220.035,0.106220035,235.3604948,141.2162969,94.14419794,231,-97.21618855,49.88140203,-097.21618855 49.88140203
232,Manitoba,46,2021S051246110242,4611,Division No. 11,46110242,20,15,5,95607.15703,0.095607157,209.1893601,156.8920201,52.29734003,232,-97.21379121,49.88138487,-097.21379121 49.88138487
233,Manitoba,46,2021S051246110243,4611,Division No. 11,46110243,35,20,15,145283.2493,0.145283249,240.9087088,137.6621193,103.2465895,233,-97.21081494,49.88140404,-097.21081494 49.88140404
234,Manitoba,46,2021S051246110244,4611,Division No. 11,46110244,20,10,10,118465.8343,0.118465834,168.8250467,84.41252334,84.41252334,234,-97.20728791,49.88132662,-097.20728791 49.88132662
235,Manitoba,46,2021S051246110245,4611,Division No. 11,46110245,10,5,5,121247.38,0.12124738,82.47600896,41.23800448,41.23800448,235,-97.20367561,49.88193983,-097.20367561 49.88193983
236,Manitoba,46,2021S051246110246,4611,Division No. 11,46110246,45,25,20,222910.2895,0.22291029,201.8749341,112.1527411,89.72219291,236,-97.20492363,49.88560231,-097.20492363 49.88560231
237,Manitoba,46,2021S051246110247,4611,Division No. 11,46110247,15,10,5,324667.2477,0.324667248,46.20114934,30.80076623,15.40038311,237,-97.20865295,49.87681218,-097.20865295 49.87681218
238,Manitoba,46,2021S051246110248,4611,Division No. 11,46110248,20,10,10,92051.92713,0.092051927,217.2686724,108.6343362,108.6343362,238,-97.2123757,49.87712762,-097.21237570 49.87712762
239,Manitoba,46,2021S051246110249,4611,Division No. 11,46110249,20,10,5,106649.3286,0.106649329,187.530482,93.76524102,46.88262051,239,-97.21602778,49.87692906,-097.21602778 49.87692906
240,Manitoba,46,2021S051246110250,4611,Division No. 11,46110250,15,5,10,281162.0797,0.28116208,53.35001085,17.78333695,35.5666739,240,-97.22149542,49.87610452,-097.22149542 49.87610452
241,Manitoba,46,2021S051246110251,4611,Division No. 11,46110251,30,15,15,176529.8641,0.176529864,169.9429167,84.97145836,84.97145836,241,-97.22059196,49.88042355,-097.22059196 49.88042355
